
------------------------------
TABLE,account_policy_data
DESC,Additional OS X user account data from the AccountPolicy section of OpenDirectory.
   ,INT64,uid,,"User ID"
   ,DOUBLE,creation_time,,"When the account was first created"
   ,INT64,failed_login_count,,"The number of times the user failed to login with the correct password. Resets after a correct password is entered"
   ,DOUBLE,failed_login_timestamp,,"The time of the last failed login attempt. Resets after a correct password is entered"
   ,DOUBLE,password_last_set_time,,"The time the password was last changed"
TATTR,
------------------------------
TABLE,acpi_tables
DESC,Firmware ACPI functional table common metadata and content.
   ,STRING,name,,"ACPI table name"
   ,INT,size,,"Size of compiled table data"
   ,STRING,md5,,"MD5 hash of table content"
TATTR,
------------------------------
TABLE,ad_config
DESC,OS X Active Directory configuration.
   ,STRING,name,,"The OS X-specific configuration name"
   ,STRING,domain,,"Active Directory trust domain"
   ,STRING,option,,"Canonical name of option"
   ,STRING,value,,"Variable typed option value"
TATTR,
------------------------------
TABLE,alf
DESC,OS X application layer firewall (ALF) service details.
   ,INT,allow_signed_enabled,,"1 If allow signed mode is enabled else 0"
   ,INT,firewall_unload,,"1 If firewall unloading enabled else 0"
   ,INT,global_state,,"1 If the firewall is enabled with exceptions, 2 if the firewall is configured to block all incoming connections, else 0"
   ,INT,logging_enabled,,"1 If logging mode is enabled else 0"
   ,INT,logging_option,,"Firewall logging option"
   ,INT,stealth_enabled,,"1 If stealth mode is enabled else 0"
   ,STRING,version,,"Application Layer Firewall version"
TATTR,
------------------------------
TABLE,alf_exceptions
DESC,OS X application layer firewall (ALF) service exceptions.
   ,STRING,path,,"Path to the executable that is excepted"
   ,INT,state,,"Firewall exception state"
TATTR,
------------------------------
TABLE,alf_explicit_auths
DESC,ALF services explicitly allowed to perform networking.
   ,STRING,process,,"Process name explicitly allowed"
TATTR,
------------------------------
TABLE,alf_services
DESC,OS X application layer firewall (Firewall) services.
   ,STRING,service,,"Firewalled service name"
   ,STRING,process,,"Process name"
   ,INT,state,,"Firewall service state"
TATTR,
------------------------------
TABLE,app_schemes
DESC,OS X application schemes and handlers (e.g., http, file, mailto).
   ,STRING,scheme,,"Name of the scheme/protocol"
   ,STRING,handler,,"Application label for the handler"
   ,INT,enabled,,"1 if this handler is the OS default, else 0"
   ,INT,external,,"1 if this handler does NOT exist on OS X by default, else 0"
   ,INT,protected,,"1 if this handler is protected (reserved) by OS X, else 0"
TATTR,
------------------------------
TABLE,appcompat_shims
DESC,Application Compatibility shims are a way to persist malware. This table presents the AppCompat Shim information from the registry in a nice format. See http://files.brucon.org/2015/Tomczak_and_Ballenthin_Shims_for_the_Win.pdf for more details.
   ,STRING,executable,,"Name of the executable that is being shimmed. This is pulled from the registry."
   ,STRING,path,,"This is the path to the SDB database."
   ,STRING,description,,"Description of the SDB."
   ,INT,install_time,,"Install time of the SDB"
   ,STRING,type,,"Type of the SDB database."
   ,STRING,sdb_id,,"Unique GUID of the SDB."
TATTR,
------------------------------
